Hourly_DateTime,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,ZenithDeviation
2016-11-27 15:00:00,448.45,54.17,30.43,84.17,107.17,6.28,197.5
2016-11-27 16:00:00,219.47,51.0,30.44,93.0,131.1,6.09,257.5
2016-11-27 17:00:00,33.98,49.83,30.45,77.58,109.8,7.03,317.5
2016-11-27 18:00:00,1.23,50.08,30.45,34.5,133.15,7.22,377.5
2016-11-27 19:00:00,1.2,45.17,30.47,89.75,123.82,4.59,437.5
2016-11-27 20:00:00,1.21,45.5,30.48,49.08,109.15,7.59,497.5
2016-11-27 21:00:00,1.21,44.75,30.47,47.25,143.52,9.19,557.5
2016-11-27 22:00:00,1.22,46.92,30.48,66.67,133.38,11.25,617.5
2016-11-27 23:00:00,1.21,45.5,30.47,94.58,139.87,10.69,677.5
2016-11-28 00:00:00,1.21,45.08,30.46,67.25,113.48,6.37,702.5
2016-11-28 01:00:00,1.22,47.0,30.44,28.08,177.23,10.03,642.5
2016-11-28 02:00:00,1.21,45.42,30.44,49.5,128.88,3.65,582.5
2016-11-28 03:00:00,1.2,44.0,30.44,43.42,179.18,7.03,522.5
2016-11-28 04:00:00,1.21,43.92,30.44,27.08,164.4,8.06,462.5
2016-11-28 05:00:00,1.21,44.25,30.44,25.92,154.88,6.56,402.5
2016-11-28 06:00:00,6.86,45.25,30.45,23.33,152.55,6.09,342.5
2016-11-28 07:00:00,72.42,45.08,30.45,53.92,144.22,6.0,282.5
2016-11-28 08:00:00,410.83,54.42,30.46,23.92,133.22,8.06,222.5
2016-11-28 09:00:00,618.34,57.25,30.47,46.92,90.11,5.25,162.5
2016-11-28 10:00:00,773.94,57.92,30.46,52.25,97.34,5.72,102.5
2016-11-28 11:00:00,862.7,60.17,30.46,35.5,88.71,5.9,42.5
2016-11-28 12:00:00,884.86,61.0,30.45,24.42,90.1,6.0,19.25
2016-11-28 13:00:00,825.66,59.67,30.43,40.25,62.1,6.75,76.5
2016-11-28 14:00:00,697.58,56.92,30.41,58.5,59.49,4.22,136.5
2016-11-28 15:00:00,514.18,57.08,30.41,49.08,128.23,3.56,196.5
2016-11-28 16:00:00,266.9,54.42,30.42,65.33,120.0,3.75,256.5
2016-11-28 17:00:00,32.55,50.0,30.43,61.42,132.32,6.0,316.5
2016-11-28 18:00:00,1.2,45.33,30.43,85.67,123.0,7.78,376.5
2016-11-28 19:00:00,1.2,43.75,30.44,86.08,138.25,7.12,436.5
2016-11-28 20:00:00,1.21,43.25,30.45,69.25,115.41,5.06,496.5
2016-11-28 21:00:00,1.18,40.67,30.46,92.75,125.25,8.15,556.5
2016-11-28 22:00:00,1.19,39.83,30.46,98.75,132.78,8.34,616.5
2016-11-28 23:00:00,1.2,39.42,30.46,95.17,149.8,6.28,676.5
2016-11-29 00:00:00,1.19,40.0,30.45,76.33,133.47,6.65,703.5
